Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,Mean_AGDD
8188,40.10041,-88.213066,227,IL,88,Prunus,persica,peach,Plantae,483,Leaves,1,2012,79,2456006,-9999.0,79,79,79,3.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,319.25
8188,40.10041,-88.213066,227,IL,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2012,88,2456015,-9999.0,11.0,-9999.0,-9999.0
8188,40.10041,-88.213066,227,IL,88,Prunus,persica,peach,Plantae,501,Open flowers,1,2012,79,2456006,-9999.0,79,79,79,3.0,-9999.0,1,2012,88,2456015,-9999.0,11.0,-9999.0,319.25
8388,35.179295,-97.447632,346,OK,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2012,61,2455988,-9999.0,61,61,61,2.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,433.75
8388,35.179295,-97.447632,346,OK,88,Prunus,persica,peach,Plantae,483,Leaves,1,2012,63,2455990,-9999.0,63,63,63,2.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,454.5
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,2,2013,76,2456369,0.0,76,76,76,2.0,0.0,2,2013,95,2456388,0.0,1.0,0.0,416.25
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,390,Ripe fruits,2,2013,159,2456452,0.0,159,159,159,6.0,0.0,2,2013,159,2456452,0.0,13.0,0.0,1694.25
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,2,2013,78,2456371,0.0,78,78,78,2.0,0.0,2,2013,103,2456396,1.0,2.5,0.5,440.5
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,471,Falling leaves,2,2013,305,2456598,0.0,305,305,305,5.0,0.0,2,2013,310,2456603,0.0,6.0,0.0,4887.5
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,483,Leaves,2,2013,78,2456371,0.0,78,78,78,2.0,0.0,2,2013,310,2456603,0.0,6.0,0.0,440.5
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,498,Colored leaves,2,2013,263,2456556,0.0,263,263,263,10.0,0.0,2,2013,310,2456603,0.0,6.0,0.0,4185.75
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,2,2013,76,2456369,0.0,76,76,76,2.0,0.0,2,2013,104,2456397,0.0,3.0,0.0,416.25
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,501,Open flowers,2,2013,78,2456371,0.0,78,78,78,2.0,0.0,2,2013,104,2456397,0.0,3.0,0.0,440.5
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,504,Recent fruit or seed drop,2,2013,159,2456452,0.0,159,159,159,6.0,0.0,2,2013,159,2456452,0.0,13.0,0.0,1694.25
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,516,Fruits,2,2013,147,2456440,0.0,147,147,147,8.0,0.0,2,2013,159,2456452,0.0,13.0,0.0,1417.75
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2013,78,2456371,-9999.0,78,78,78,5.0,-9999.0,1,2013,93,2456386,-9999.0,11.0,-9999.0,444.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,1,2013,78,2456371,-9999.0,78,78,78,5.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,444.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,483,Leaves,1,2013,93,2456386,-9999.0,93,93,93,15.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,547.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2013,78,2456371,-9999.0,15.0,-9999.0,-9999.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,501,Open flowers,1,2013,78,2456371,-9999.0,78,78,78,5.0,-9999.0,1,2013,78,2456371,-9999.0,15.0,-9999.0,444.0
1391,31.715519,-82.937538,93,GA,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,1,2013,39,2456332,-9999.0,39,39,39,28.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,471.0
1391,31.715519,-82.937538,93,GA,88,Prunus,persica,peach,Plantae,501,Open flowers,1,2013,39,2456332,-9999.0,39,39,39,28.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,471.0
2239,35.405064,-80.906181,220,NC,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,1,2013,68,2456361,-9999.0,68,68,68,15.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,406.75
2239,35.405064,-80.906181,220,NC,88,Prunus,persica,peach,Plantae,501,Open flowers,1,2013,68,2456361,-9999.0,68,68,68,15.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,406.75
9088,34.291664,-85.63031,210,AL,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2013,75,2456368,-9999.0,75,75,75,2.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,531.75
9088,34.291664,-85.63031,210,AL,88,Prunus,persica,peach,Plantae,501,Open flowers,1,2013,75,2456368,-9999.0,75,75,75,2.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,531.75
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2013,101,2456394,-9999.0,101,101,101,1.0,-9999.0,1,2013,134,2456427,-9999.0,1.0,-9999.0,300.5
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,1,2013,134,2456427,-9999.0,134,134,134,1.0,-9999.0,1,2013,146,2456439,-9999.0,6.0,-9999.0,542.5
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,471,Falling leaves,1,2013,305,2456598,-9999.0,305,305,305,1.0,-9999.0,1,2013,311,2456604,-9999.0,1.0,-9999.0,3542.0
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,483,Leaves,1,2013,119,2456412,-9999.0,119,119,119,1.0,-9999.0,1,2013,253,2456546,-9999.0,8.0,-9999.0,397.75
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,498,Colored leaves,1,2013,303,2456596,-9999.0,303,303,303,3.0,-9999.0,1,2013,311,2456604,-9999.0,1.0,-9999.0,3532.0
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,1,2013,96,2456389,-9999.0,96,96,96,1.0,-9999.0,1,2013,134,2456427,-9999.0,1.0,-9999.0,278.5
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,501,Open flowers,1,2013,128,2456421,-9999.0,128,128,128,1.0,-9999.0,1,2013,134,2456427,-9999.0,1.0,-9999.0,464.5
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,2,2014,80,2456738,0.0,80,80,80,5.0,0.0,2,2014,80,2456738,0.0,5.0,0.0,372.25
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,390,Ripe fruits,2,2014,170,2456828,0.0,170,170,170,19.0,0.0,2,2014,170,2456828,0.0,24.0,0.0,1978.75
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,2,2014,96,2456754,0.0,96,96,96,11.0,0.0,2,2014,106,2456764,0.0,5.0,0.0,548.0
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,471,Falling leaves,2,2014,267,2456925,0.0,267,267,267,3.0,0.0,2,2014,314,2456972,0.0,4.0,0.0,4290.75
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,483,Leaves,2,2014,96,2456754,0.0,96,96,96,11.0,0.0,2,2014,305,2456963,0.0,9.0,0.0,548.0
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,498,Colored leaves,2,2014,262,2456920,2.5,259,264,262,9.0,4.0,2,2014,305,2456963,0.0,9.0,0.0,4184.375
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,2,2014,80,2456738,0.0,80,80,80,5.0,0.0,2,2014,96,2456754,0.0,6.0,0.0,372.25
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,501,Open flowers,2,2014,85,2456743,0.0,85,85,85,5.0,0.0,2,2014,96,2456754,0.0,6.0,0.0,406.0
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,516,Fruits,2,2014,117,2456775,0.0,117,117,117,3.0,0.0,2,2014,170,2456828,0.0,24.0,0.0,854.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2014,79,2456737,-9999.0,79,79,79,10.0,-9999.0,1,2014,79,2456737,-9999.0,16.0,-9999.0,352.75
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,1,2014,95,2456753,-9999.0,95,95,95,16.0,-9999.0,1,2014,115,2456773,-9999.0,10.0,-9999.0,528.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,483,Leaves,1,2014,95,2456753,-9999.0,95,95,95,16.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,528.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,1,2014,79,2456737,-9999.0,79,79,79,10.0,-9999.0,1,2014,79,2456737,-9999.0,16.0,-9999.0,352.75
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,501,Open flowers,1,2014,79,2456737,-9999.0,79,79,79,10.0,-9999.0,1,2014,79,2456737,-9999.0,16.0,-9999.0,352.75
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,516,Fruits,1,2014,125,2456783,-9999.0,125,125,125,10.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,972.0
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2014,94,2456752,-9999.0,94,94,94,1.0,-9999.0,1,2014,117,2456775,-9999.0,1.0,-9999.0,294.0
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,1,2014,117,2456775,-9999.0,117,117,117,7.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,515.5
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,471,Falling leaves,1,2014,298,2456956,-9999.0,298,298,298,1.0,-9999.0,1,2014,313,2456971,-9999.0,2.0,-9999.0,3576.0
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,483,Leaves,1,2014,105,2456763,-9999.0,105,105,105,1.0,-9999.0,1,2014,313,2456971,-9999.0,2.0,-9999.0,374.75
10143,39.579479,-105.124023,1740,CO,88,Prunus,persica,peach,Plantae,498,Colored leaves,1,2014,293,2456951,-9999.0,293,293,293,3.0,-9999.0,1,2014,313,2456971,-9999.0,2.0,-9999.0,3503.75
16610,37.991367,-122.132027,79,CA,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,2,2014,152,2456810,0.0,152,152,152,3.0,0.0,3,2014,144,2456802,8.0,5.3333333333333,1.3333333333333,2197.75
16610,37.991367,-122.132027,79,CA,88,Prunus,persica,peach,Plantae,390,Ripe fruits,3,2014,208,2456866,8.2529456020933,192,220,211,7.6666666666667,0.66666666666667,3,2014,269,2456927,36.498097362892,6.6666666666667,1.4529663145136,3338.5833333333
16610,37.991367,-122.132027,79,CA,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,3,2014,149,2456807,0.0,149,149,149,13.0,0.0,3,2014,150,2456808,1.0,3.3333333333333,0.33333333333333,2144.75
16610,37.991367,-122.132027,79,CA,88,Prunus,persica,peach,Plantae,471,Falling leaves,3,2014,183,2456841,15.878007151753,156,211,183,7.6666666666667,2.3333333333333,3,2014,340,2456998,2.3333333333333,6.0,1.0,2832.5
16610,37.991367,-122.132027,79,CA,88,Prunus,persica,peach,Plantae,483,Leaves,1,2014,342,2457000,-9999.0,342,342,342,3.0,-9999.0,3,2014,341,2456999,1.0,5.6666666666667,1.3333333333333,5806.0
16610,37.991367,-122.132027,79,CA,88,Prunus,persica,peach,Plantae,498,Colored leaves,3,2014,174,2456832,20.102515044419,136,204,183,8.3333333333333,2.0275875100994,3,2014,337,2456995,2.3333333333333,5.0,1.0,2654.4166666667
16610,37.991367,-122.132027,79,CA,88,Prunus,persica,peach,Plantae,504,Recent fruit or seed drop,3,2014,205,2456863,6.3333333333333,192,211,211,7.6666666666667,0.66666666666667,3,2014,223,2456881,1.6666666666667,3.0,1.0,3274.1666666667
16610,37.991367,-122.132027,79,CA,88,Prunus,persica,peach,Plantae,516,Fruits,3,2014,182,2456840,22.452418825399,156,227,164,4.6666666666667,1.7638342073764,3,2014,231,2456889,4.0,5.6666666666667,1.6666666666667,2816.9166666667
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,2,2015,81,2457104,0.0,81,81,81,3.0,0.0,2,2015,92,2457115,1.5,3.5,0.5,369.5
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,390,Ripe fruits,2,2015,161,2457184,0.0,161,161,161,12.0,0.0,2,2015,161,2457184,0.0,17.0,0.0,1829.0
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,2,2015,90,2457113,0.0,90,90,90,3.0,0.0,2,2015,97,2457120,0.0,4.0,0.0,475.25
